timestamp(ms),PRX.D0,PRX.D45,PRX.D90,PRX.D135,PRX.D180,PRX.D225,PRX.D270,PRX.D315,ATT.Roll,ATT.Pitch,ATT.Yaw
282661.675,1.87732172012329,2.92961668968201,3.04988026618958,60,7.27435207366943,3.48215794563293,3.44356870651245,3.08450269699097,0.02,2.76,159.89
282761.675,1.87803888320923,2.93105840682983,3.04908657073975,60,7.2798810005188,3.48167419433594,3.44261312484741,3.08374333381653,0.02,2.76,159.91
282861.675,1.87832188606262,2.93162727355957,3.04777550697327,60,7.28206348419189,3.47926783561707,3.44223618507385,3.08103847503662,0.02,2.76,159.91
282961.675,1.8785640001297,2.93211388587952,3.04665350914001,60,7.28393030166626,3.47720885276794,3.44206690788269,3.07872438430786,0.02,2.76,159.92
283061.675,1.87877130508423,2.93253040313721,3.04569339752197,60,7.2847785949707,3.4754467010498,3.4424901008606,3.07674407958984,0.02,2.76,159.92
283161.675,1.87894868850708,2.93288683891296,3.04517889022827,60,7.2848105430603,3.47393870353699,3.44285225868225,3.07504916191101,0.02,2.76,159.93
283261.675,1.87910151481628,2.93253350257874,3.04588103294373,60,7.28483819961548,3.47660326957703,3.44316506385803,3.07536482810974,0.02,2.76,159.93
283361.675,1.87922990322113,2.9321711063385,3.04646992683411,60,7.28486204147339,3.47923421859741,3.44342756271362,3.07602763175964,0.02,2.76,159.94
283461.675,1.87934100627899,2.93185806274414,3.04697942733765,60,7.28488111495972,3.48150944709778,3.44365429878235,3.07660126686096,0.02,2.76,159.95
283561.675,1.87943601608276,2.93158984184265,3.04741525650024,60,7.28489828109741,3.48345637321472,3.44450306892395,3.07709193229675,0.02,2.77,159.96
283661.675,1.87951755523682,2.93136048316956,3.04778861999512,60,7.28491258621216,3.48512268066406,3.44529676437378,3.07751178741455,0.02,2.77,159.96
283761.675,1.8795872926712,2.93205690383911,3.04693531990051,60,7.28492593765259,3.48476266860962,3.44597554206848,3.07862043380737,0.02,2.76,159.96
283861.675,1.87964701652527,2.93320322036743,3.04593443870544,60,7.28493547439575,3.48335385322571,3.44655609130859,3.08026266098022,0.02,2.76,159.97
283961.675,1.87969791889191,2.93418407440186,3.04507780075073,60,7.28494501113892,3.48214840888977,3.44705295562744,3.08166790008545,0.02,2.77,159.98
284061.675,1.87974154949188,2.93502330780029,3.04434537887573,60,7.28495407104492,3.48111629486084,3.44747805595398,3.08287048339844,0.02,2.77,159.99
284161.675,1.87977886199951,2.93574166297913,3.04371809959412,60,7.28571033477783,3.48023343086243,3.44784188270569,3.08389925956726,0.02,2.77,160
284261.675,1.87981081008911,2.93635654449463,3.0430281162262,60,7.2870512008667,3.47947835922241,3.44815349578857,3.08478021621704,0.02,2.77,160
284361.675,1.87983822822571,2.93543910980225,3.04186916351318,60,7.28819847106934,3.47883224487305,3.44842004776001,3.08422493934631,0.02,2.77,160.01
284461.675,1.87986159324646,2.93465447425842,3.04087781906128,60,7.28918075561523,3.47827911376953,3.44864773750305,3.08361482620239,0.02,2.77,160.01
284561.675,1.8798816204071,2.93398261070251,3.04002952575684,60,7.29002094268799,3.47780561447144,3.44884276390076,3.08309316635132,0.02,2.77,160.02
284661.675,1.87938177585602,2.93340802192688,3.03930377960205,60,7.2907395362854,3.4774010181427,3.4495267868042,3.08264636993408,0.02,2.77,160.02
284761.675,1.87874937057495,2.93291640281677,3.03868293762207,60,7.28808212280273,3.47705459594727,3.45031666755676,3.08226442337036,0.02,2.77,160.02
284861.675,1.87820839881897,2.93219304084778,3.04038310050964,60,7.28547286987305,3.47645592689514,3.45099258422852,3.08193755149841,0.03,2.77,160.03
284961.675,1.87774550914764,2.93115496635437,3.0432140827179,60,7.28324031829834,3.47552442550659,3.45157074928284,3.08165788650513,0.03,2.77,160.04
285061.675,1.87734949588776,2.93026685714722,3.04563665390015,60,7.28133010864258,3.47472763061523,3.45206570625305,3.08141875267029,0.03,2.77,160.05
285161.675,1.87701046466827,2.92950677871704,3.04770946502686,60,7.27969551086426,3.47404527664185,3.45248889923096,3.08121395111084,0.03,2.77,160.05
285261.675,1.87671756744385,2.92885088920593,3.04949951171875,60,7.27828311920166,3.47345638275146,3.4528546333313,3.08103680610657,0.03,2.77,160.06
285361.675,1.8757221698761,2.92830038070679,3.05100107192993,60,7.27709817886353,3.47296237945557,3.45278668403625,3.08088898658752,0.03,2.77,160.06
285461.675,1.87417483329773,2.92782402038574,3.05229997634888,60,7.27865791320801,3.47253513336182,3.45238471031189,3.08076047897339,0.03,2.77,160.08
285561.675,1.87285077571869,2.927570104599,3.05401563644409,60,7.28101682662964,3.47278308868408,3.45204043388367,3.08065032958984,0.03,2.77,160.08
285661.675,1.8717178106308,2.92792081832886,3.0563223361969,60,7.28303575515747,3.47526788711548,3.45174622535706,3.08055639266968,0.03,2.78,160.09
285761.675,1.87074828147888,2.92822122573853,3.05829620361328,60,7.28476238250732,3.47739434242249,3.45149421691895,3.0804762840271,0.03,2.78,160.09
285861.675,1.86991858482361,2.92847776412964,3.05998492240906,60,7.2862401008606,3.47921371459961,3.45127868652344,3.08040761947632,0.03,2.78,160.09
285961.675,1.86920869350433,2.92869758605957,3.06143045425415,60,7.28750467300415,3.48077034950256,3.45109415054321,3.08034896850586,0.03,2.78,160.1
